airline_code,departure_airport_code,destination_airport_code,departure_date,arrival_date,ticket_price,First_flight,first_flight_code,last_flight_code,selling_airline,departure_time,arrival_time,Detected_Language,Assigned_Country,Assigned_Currency
AZ,FCO,MAD,"['2024', '11', '28', '14', '35']","['2024', '11', '28', '17', '10']",1827368,FCO-MAD,,AZ60,ITA,28,"""AZ""",Indonesia,Indonesia,IDR
AZ,FCO,MAD,"['2024', '11', '28', '21', '25']","['2024', '11', '28', '23', '59']",1827368,FCO-MAD,,AZ64,ITA,28,"""AZ""",Indonesia,Indonesia,IDR
IB,FCO,MAD,"['2024', '11', '28', '6', '20']","['2024', '11', '28', '8', '55']",1895049,FCO-MAD,IB658,IB658,Iberia,11,28,Indonesia,Indonesia,IDR
IB,FCO,MAD,"['2024', '11', '28', '14', '45']","['2024', '11', '28', '17', '20']",1895049,FCO-MAD,IB650,IB650,2024,11,28,Indonesia,Indonesia,IDR
IB,FCO,MAD,"['2024', '11', '28', '18', '55']","['2024', '11', '28', '21', '30']",1895049,FCO-MAD,IB654,IB654,2024,11,28,Indonesia,Indonesia,IDR
multi,FCO,MAD,"['2024', '11', '28', '9', '40']","['2024', '11', '28', '14', '55']",2165770,FCO-BCN,VY6101,IB412,Iberia,11,28,Indonesia,Indonesia,IDR
VY,FCO,MAD,"['2024', '11', '28', '19', '5']","['2024', '11', '29', '8', '50']",2227190,FCO-BCN,VY6113,1002null,Vueling,29,"""VY""",Indonesia,Indonesia,IDR
W4,FCO,MAD,"['2024', '11', '28', '6', '5']","['2024', '11', '28', '8', '45']",16919737,FCO-MAD,,W46011,Wizz Air,"""W4""","""6011""",Indonesia,Indonesia,IDR
W4,FCO,MAD,"['2024', '11', '28', '13', '20']","['2024', '11', '28', '16', 'null']",16919737,FCO-MAD,W4,W46015,2024,28,2024,Indonesia,Indonesia,IDR
W4,FCO,MAD,"['2024', '11', '28', '17', '45']","['2024', '11', '28', '20', '25']",16919737,FCO-MAD,,W46013,2024,"""W4""","""6013""",Indonesia,Indonesia,IDR
IB,FCO,MAD,"['2024', '11', '28', '6', '20']","['2024', '11', '28', '8', '55']",1686255,FCO-MAD,IB,IB658,https://encrypted-tbn0.gstatic.com/images?q\u003dtbn:ANd9GcQOk3xypjQxrqfZPlTUH5lubWcGBzOkdXv7IVkOL--w1FYohepC2Y1hN69JZMcmQsAOt2hIy7EWP0SfXA,"""IB""","""658""",Indonesia,Indonesia,IDR
IB,FCO,MAD,"['2024', '11', '28', '14', '45']","['2024', '11', '28', '17', '20']",1686255,FCO-MAD,IB650,IB650,2024,11,28,Indonesia,Indonesia,IDR
AZ,FCO,MAD,"['2024', '11', '28', '8', '20']","['2024', '11', '28', '10', '55']",1827368,FCO-MAD,,AZ58,2024,28,"""AZ""",Indonesia,Indonesia,IDR
IB,FCO,MAD,"['2024', '11', '28', '18', '55']","['2024', '11', '28', '21', '30']",1686255,FCO-MAD,IB654,IB654,Iberia,11,28,Indonesia,Indonesia,IDR
AZ,FCO,MAD,"['2024', '11', '28', '14', '35']","['2024', '11', '28', '17', '10']",1827368,FCO-MAD,,AZ60,2024,28,"""AZ""",Indonesia,Indonesia,IDR
AZ,FCO,MAD,"['2024', '11', '28', '21', '25']","['2024', '11', '28', '23', '59']",1827368,FCO-MAD,,AZ64,ITA,28,"""AZ""",Indonesia,Indonesia,IDR
multi,FCO,MAD,"['2024', '11', '28', '9', '40']","['2024', '11', '28', '14', '55']",2165770,FCO-BCN,VY6101,IB412,Vueling,11,28,Indonesia,Indonesia,IDR
VY,FCO,MAD,"['2024', '11', '28', '19', '5']","['2024', '11', '29', '8', '50']",2227190,FCO-BCN,VY6113,1002null,Vueling,29,"""VY""",Indonesia,Indonesia,IDR
W4,FCO,MAD,"['2024', '11', '28', '6', '5']","['2024', '11', '28', '8', '45']",16919737,FCO-MAD,,W46011,Wizz Air,"""W4""","""6011""",Indonesia,Indonesia,IDR
W4,FCO,MAD,"['2024', '11', '28', '13', '20']","['2024', '11', '28', '16', 'null']",16919737,FCO-MAD,W4,W46015,2024,28,2024,Indonesia,Indonesia,IDR
W4,FCO,MAD,"['2024', '11', '28', '17', '45']","['2024', '11', '28', '20', '25']",16919737,FCO-MAD,,W46013,2024,"""W4""","""6013""",Indonesia,Indonesia,IDR
IB,FCO,MAD,"['2024', '11', '28', '6', '20']","['2024', '11', '28', '8', '55']",1686255,FCO-MAD,IB,IB658,0,"""IB""","""658""",Indonesia,Indonesia,IDR
IB,FCO,MAD,"['2024', '11', '28', '14', '45']","['2024', '11', '28', '17', '20']",1686255,FCO-MAD,IB650,IB650,2024,11,28,Indonesia,Indonesia,IDR
AZ,FCO,MAD,"['2024', '11', '28', '8', '20']","['2024', '11', '28', '10', '55']",1827368,FCO-MAD,,AZ58,2024,28,"""AZ""",Indonesia,Indonesia,IDR
IB,FCO,MAD,"['2024', '11', '28', '18', '55']","['2024', '11', '28', '21', '30']",1686255,FCO-MAD,IB654,IB654,Iberia,11,28,Indonesia,Indonesia,IDR
AZ,FCO,MAD,"['2024', '11', '28', '14', '35']","['2024', '11', '28', '17', '10']",1827368,FCO-MAD,,AZ60,2024,28,"""AZ""",Indonesia,Indonesia,IDR
AZ,FCO,MAD,"['2024', '11', '28', '21', '25']","['2024', '11', '28', '23', '59']",1827368,FCO-MAD,,AZ64,ITA,28,"""AZ""",Indonesia,Indonesia,IDR
IB,FCO,MAD,"['2024', '11', '28', '11', '55']","['2024', '11', '28', '14', '30']",2210777,FCO-MAD,IB648,IB648,Iberia,11,28,Indonesia,Indonesia,IDR
IB,FCO,MAD,"['2024', '11', '28', '20', '20']","['2024', '11', '28', '22', '55']",2210777,FCO-MAD,IB656,IB656,2024,11,28,Indonesia,Indonesia,IDR
VY,FCO,MAD,"['2024', '11', '28', '19', '5']","['2024', '11', '29', '8', '50']",2227190,FCO-BCN,VY6113,1002null,2024,29,"""VY""",Indonesia,Indonesia,IDR
UX,FCO,MAD,"['2024', '11', '28', '10', '30']","['2024', '11', '28', '13', '5']",3209062,FCO-MAD,,UX1040,Air Europa,28,"""UX""",Indonesia,Indonesia,IDR
UX,FCO,MAD,"['2024', '11', '28', '18', '25']","['2024', '11', '28', '21', 'null']",3209062,FCO-MAD,UX,UX1048,Air Europa,"""UX""","""1048""",Indonesia,Indonesia,IDR
W4,FCO,MAD,"['2024', '11', '28', '6', '5']","['2024', '11', '28', '8', '45']",16919737,FCO-MAD,,W46011,Wizz Air,"""W4""","""6011""",Indonesia,Indonesia,IDR
W4,FCO,MAD,"['2024', '11', '28', '13', '20']","['2024', '11', '28', '16', 'null']",16919737,FCO-MAD,W4,W46015,2024,28,2024,Indonesia,Indonesia,IDR
W4,FCO,MAD,"['2024', '11', '28', '17', '45']","['2024', '11', '28', '20', '25']",16919737,FCO-MAD,,W46013,2024,"""W4""","""6013""",Indonesia,Indonesia,IDR
AZ,FCO,MAD,"['2024', '11', '28', '14', '35']","['2024', '11', '28', '17', '10']",1827368,FCO-MAD,,AZ60,ITA,28,"""AZ""",Indonesia,Indonesia,IDR
AZ,FCO,MAD,"['2024', '11', '28', '21', '25']","['2024', '11', '28', '23', '59']",1827368,FCO-MAD,,AZ64,ITA,28,"""AZ""",Indonesia,Indonesia,IDR
IB,FCO,MAD,"['2024', '11', '28', '6', '20']","['2024', '11', '28', '8', '55']",1895049,FCO-MAD,IB658,IB658,Iberia,11,28,Indonesia,Indonesia,IDR
IB,FCO,MAD,"['2024', '11', '28', '14', '45']","['2024', '11', '28', '17', '20']",1895049,FCO-MAD,IB650,IB650,2024,11,28,Indonesia,Indonesia,IDR
IB,FCO,MAD,"['2024', '11', '28', '18', '55']","['2024', '11', '28', '21', '30']",1895049,FCO-MAD,IB654,IB654,2024,11,28,Indonesia,Indonesia,IDR
multi,FCO,MAD,"['2024', '11', '28', '9', '40']","['2024', '11', '28', '14', '55']",2165770,FCO-BCN,VY6101,IB412,Iberia,11,28,Indonesia,Indonesia,IDR
VY,FCO,MAD,"['2024', '11', '28', '19', '5']","['2024', '11', '29', '8', '50']",2227190,FCO-BCN,VY6113,1002null,Vueling,29,"""VY""",Indonesia,Indonesia,IDR
W4,FCO,MAD,"['2024', '11', '28', '6', '5']","['2024', '11', '28', '8', '45']",16919737,FCO-MAD,,W46011,Wizz Air,"""W4""","""6011""",Indonesia,Indonesia,IDR
W4,FCO,MAD,"['2024', '11', '28', '13', '20']","['2024', '11', '28', '16', 'null']",16919737,FCO-MAD,W4,W46015,2024,28,2024,Indonesia,Indonesia,IDR
W4,FCO,MAD,"['2024', '11', '28', '17', '45']","['2024', '11', '28', '20', '25']",16919737,FCO-MAD,,W46013,2024,"""W4""","""6013""",Indonesia,Indonesia,IDR
IB,FCO,MAD,"['2024', '11', '28', '6', '20']","['2024', '11', '28', '8', '55']",1686255,FCO-MAD,IB,IB658,https://encrypted-tbn0.gstatic.com/images?q\u003dtbn:ANd9GcQOk3xypjQxrqfZPlTUH5lubWcGBzOkdXv7IVkOL--w1FYohepC2Y1hN69JZMcmQsAOt2hIy7EWP0SfXA,"""IB""","""658""",Indonesia,Indonesia,IDR
IB,FCO,MAD,"['2024', '11', '28', '14', '45']","['2024', '11', '28', '17', '20']",1686255,FCO-MAD,IB650,IB650,2024,11,28,Indonesia,Indonesia,IDR
AZ,FCO,MAD,"['2024', '11', '28', '8', '20']","['2024', '11', '28', '10', '55']",1827368,FCO-MAD,,AZ58,2024,28,"""AZ""",Indonesia,Indonesia,IDR
IB,FCO,MAD,"['2024', '11', '28', '18', '55']","['2024', '11', '28', '21', '30']",1686255,FCO-MAD,IB654,IB654,Iberia,11,28,Indonesia,Indonesia,IDR
AZ,FCO,MAD,"['2024', '11', '28', '14', '35']","['2024', '11', '28', '17', '10']",1827368,FCO-MAD,,AZ60,2024,28,"""AZ""",Indonesia,Indonesia,IDR
AZ,FCO,MAD,"['2024', '11', '28', '21', '25']","['2024', '11', '28', '23', '59']",1827368,FCO-MAD,,AZ64,ITA,28,"""AZ""",Indonesia,Indonesia,IDR
multi,FCO,MAD,"['2024', '11', '28', '9', '40']","['2024', '11', '28', '14', '55']",2165770,FCO-BCN,VY6101,IB412,Vueling,11,28,Indonesia,Indonesia,IDR
VY,FCO,MAD,"['2024', '11', '28', '19', '5']","['2024', '11', '29', '8', '50']",2227190,FCO-BCN,VY6113,1002null,Vueling,29,"""VY""",Indonesia,Indonesia,IDR
W4,FCO,MAD,"['2024', '11', '28', '6', '5']","['2024', '11', '28', '8', '45']",16919737,FCO-MAD,,W46011,Wizz Air,"""W4""","""6011""",Indonesia,Indonesia,IDR
W4,FCO,MAD,"['2024', '11', '28', '13', '20']","['2024', '11', '28', '16', 'null']",16919737,FCO-MAD,W4,W46015,2024,28,2024,Indonesia,Indonesia,IDR
W4,FCO,MAD,"['2024', '11', '28', '17', '45']","['2024', '11', '28', '20', '25']",16919737,FCO-MAD,,W46013,2024,"""W4""","""6013""",Indonesia,Indonesia,IDR
IB,FCO,MAD,"['2024', '11', '28', '6', '20']","['2024', '11', '28', '8', '55']",1686255,FCO-MAD,IB,IB658,0,"""IB""","""658""",Indonesia,Indonesia,IDR
IB,FCO,MAD,"['2024', '11', '28', '14', '45']","['2024', '11', '28', '17', '20']",1686255,FCO-MAD,IB650,IB650,2024,11,28,Indonesia,Indonesia,IDR
AZ,FCO,MAD,"['2024', '11', '28', '8', '20']","['2024', '11', '28', '10', '55']",1827368,FCO-MAD,,AZ58,2024,28,"""AZ""",Indonesia,Indonesia,IDR
IB,FCO,MAD,"['2024', '11', '28', '18', '55']","['2024', '11', '28', '21', '30']",1686255,FCO-MAD,IB654,IB654,Iberia,11,28,Indonesia,Indonesia,IDR
AZ,FCO,MAD,"['2024', '11', '28', '14', '35']","['2024', '11', '28', '17', '10']",1827368,FCO-MAD,,AZ60,2024,28,"""AZ""",Indonesia,Indonesia,IDR
AZ,FCO,MAD,"['2024', '11', '28', '21', '25']","['2024', '11', '28', '23', '59']",1827368,FCO-MAD,,AZ64,ITA,28,"""AZ""",Indonesia,Indonesia,IDR
IB,FCO,MAD,"['2024', '11', '28', '11', '55']","['2024', '11', '28', '14', '30']",2210777,FCO-MAD,IB648,IB648,Iberia,11,28,Indonesia,Indonesia,IDR
IB,FCO,MAD,"['2024', '11', '28', '20', '20']","['2024', '11', '28', '22', '55']",2210777,FCO-MAD,IB656,IB656,2024,11,28,Indonesia,Indonesia,IDR
VY,FCO,MAD,"['2024', '11', '28', '19', '5']","['2024', '11', '29', '8', '50']",2227190,FCO-BCN,VY6113,1002null,2024,29,"""VY""",Indonesia,Indonesia,IDR
UX,FCO,MAD,"['2024', '11', '28', '10', '30']","['2024', '11', '28', '13', '5']",3209062,FCO-MAD,,UX1040,Air Europa,28,"""UX""",Indonesia,Indonesia,IDR
UX,FCO,MAD,"['2024', '11', '28', '18', '25']","['2024', '11', '28', '21', 'null']",3209062,FCO-MAD,UX,UX1048,Air Europa,"""UX""","""1048""",Indonesia,Indonesia,IDR
W4,FCO,MAD,"['2024', '11', '28', '6', '5']","['2024', '11', '28', '8', '45']",16919737,FCO-MAD,,W46011,Wizz Air,"""W4""","""6011""",Indonesia,Indonesia,IDR
W4,FCO,MAD,"['2024', '11', '28', '13', '20']","['2024', '11', '28', '16', 'null']",16919737,FCO-MAD,W4,W46015,2024,28,2024,Indonesia,Indonesia,IDR
W4,FCO,MAD,"['2024', '11', '28', '17', '45']","['2024', '11', '28', '20', '25']",16919737,FCO-MAD,,W46013,2024,"""W4""","""6013""",Indonesia,Indonesia,IDR
AF,LIM,BKK,"['2024', '9', '6', '18']","['2024', '9', '8', '9']",4061,LIM-CDG,AF483,AF198,2024,9,8,English (United States),Australia,AUD
KL,LIM,BKK,"['2024', '9', '6', '17', '30']","['2024', '9', '8', '9', '30']",3804,LIM-AMS,KL744,KL875,https://encrypted-tbn1.gstatic.com/images?q\u003dtbn:ANd9GcRiH-EGCc5jbyYbopiqf-g80xO0O5pxPnlJESLyIsY2uvo-gB84S94Q4C9kNWoKQ_eQ3OU-6evapBnb7TquB4zg3p3fQEGA3wpbxxhRdx0,7,2024,English (United States),Australia,AUD
AF,LIM,BKK,"['2024', '9', '6', '18']","['2024', '9', '8', '9']",4061,LIM-CDG,AF483,AF198,2024,9,8,English (United States),Australia,AUD
multi,LIM,BKK,"['2024', '9', '6', '6', '50']","['2024', '9', '8', '6', '10']",42802,LIM-MIA,AA918,AA8137,American,8,"""QR""",English (United States),Australia,AUD
AF,LIM,BKK,"['2024', '9', '6', '18']","['2024', '9', '8', '9']",4061,LIM-CDG,AF483,AF198,2024,9,8,English (United States),Australia,AUD
KL,LIM,BKK,"['2024', '9', '6', '17', '30']","['2024', '9', '8', '9', '30']",3804,LIM-AMS,KL744,KL875,https://encrypted-tbn1.gstatic.com/images?q\u003dtbn:ANd9GcRiH-EGCc5jbyYbopiqf-g80xO0O5pxPnlJESLyIsY2uvo-gB84S94Q4C9kNWoKQ_eQ3OU-6evapBnb7TquB4zg3p3fQEGA3wpbxxhRdx0,7,2024,English (United States),Australia,AUD
AF,LIM,BKK,"['2024', '9', '6', '18']","['2024', '9', '8', '9']",4061,LIM-CDG,AF483,AF198,2024,9,8,English (United States),Australia,AUD
multi,LIM,BKK,"['2024', '9', '6', '6', '50']","['2024', '9', '8', '6', '10']",42802,LIM-MIA,AA918,AA8137,American,8,"""QR""",English (United States),Australia,AUD
multi,CPT,SHA,"['2024', '5', '16', '15', '20']","['2024', '5', '17', '22', '40']",29710,CPT-ADD,ET846,MU5478,China Eastern,5,17,Polski,Polska,PLN
multi,CPT,SHA,"['2024', '5', '16', '15', '20']","['2024', '5', '17', '22', '40']",29710,CPT-ADD,ET846,MU5478,China Eastern,5,17,Polski,Polska,PLN
multi,DPS,HEL,"['2024', '7', '5', '1', '5']","['2024', '7', '5', '15', '15']",42180,DPS-DOH,QR961,AY6672,Qatar Airways,5,2024,Türkçe,Türkiye,TRY
multi,DPS,HEL,"['2024', '7', '5', '13', '5']","['2024', '7', '6', '6', '15']",54287,DPS-SIN,SQ939,AY132,Singapore Airlines,"""AY""","""132""",Türkçe,Türkiye,TRY
multi,DPS,HEL,"['2024', '7', '5', '18', '55']","['2024', '7', '6', '15', '15']",55653,DPS-DOH,QR963,QR6122,Qatar Airways,2024,7,Türkçe,Türkiye,TRY
KL,DPS,HEL,"['2024', '7', '5', '20', '35']","['2024', '7', '6', '13', '10']",63749,DPS-SIN,KL836,KL1251,KLM,"""KL""","""1251""",Türkçe,Türkiye,TRY
multi,DPS,HEL,"['2024', '7', '5', '1', '5']","['2024', '7', '5', '15', '15']",42180,DPS-DOH,QR961,AY6672,Qatar Airways,5,2024,Türkçe,Türkiye,TRY
multi,DPS,HEL,"['2024', '7', '5', '13', '5']","['2024', '7', '6', '6', '15']",54287,DPS-SIN,SQ939,AY132,Singapore Airlines,"""AY""","""132""",Türkçe,Türkiye,TRY
multi,DPS,HEL,"['2024', '7', '5', '18', '55']","['2024', '7', '6', '15', '15']",55653,DPS-DOH,QR963,QR6122,Qatar Airways,2024,7,Türkçe,Türkiye,TRY
KL,DPS,HEL,"['2024', '7', '5', '20', '35']","['2024', '7', '6', '13', '10']",63749,DPS-SIN,KL836,KL1251,KLM,"""KL""","""1251""",Türkçe,Türkiye,TRY
multi,MLE,TUN,"['2024', '12', '6', '19', '10']","['2024', '12', '7', '16', '40']",174255,MLE-AUH,EY261,AF3813,Air France,"""1284""",null,বাংলা,বাংলাদেশ,BDT
multi,MLE,TUN,"['2024', '12', '6', '9', '35']","['2024', '12', '7', '10', '35']",224628,MLE-AUH,EY279,MS8123,EgyptAir,12,7,বাংলা,বাংলাদেশ,BDT
TK,MLE,TUN,"['2024', '12', '6', '22', '20']","['2024', '12', '7', '9', '55']",171384,MLE-IST,TK735,661null,https://encrypted-tbn2.gstatic.com/images?q\u003dtbn:ANd9GcRn_8TFVNLwVnMyANup2xtrr3eLE0Vr5NZ2eIJEYq8PnkkXNDLoGCdrbhB08aEMiZ8dD8J_WPxzyPn2_Q,"""TK""","""661""",বাংলা,বাংলাদেশ,BDT
multi,MLE,TUN,"['2024', '12', '6', '19', '10']","['2024', '12', '7', '16', '40']",174255,MLE-AUH,EY261,AF3813,Air France,"""1284""",null,বাংলা,বাংলাদেশ,BDT
QR,MLE,TUN,"['2024', '12', '6', '1', '45']","['2024', '12', '6', '13', '20']",307775,MLE-DOH,QR671,1399null,2024,12,6,বাংলা,বাংলাদেশ,BDT
EK,MLE,TUN,"['2024', '12', '6', '22', '55']","['2024', '12', '7', '12', '35']",312118,MLE-DXB,EK653,747null,2024,"""747""",null,বাংলা,বাংলাদেশ,BDT
multi,MLE,TUN,"['2024', '12', '6', '9', '35']","['2024', '12', '7', '10', '35']",224628,MLE-AUH,EY279,MS8123,EgyptAir,12,7,বাংলা,বাংলাদেশ,BDT
QR,MLE,TUN,"['2024', '12', '6', '19', '10']","['2024', '12', '7', '13', '20']",307775,MLE-DOH,QR675,1399null,2024,2024,12,বাংলা,বাংলাদেশ,BDT
multi,MLE,TUN,"['2024', '12', '6', '23', '30']","['2024', '12', '7', '12', '35']",312118,MLE-DXB,FZ1570,EK2211,Emirates,12,7,বাংলা,বাংলাদেশ,BDT
multi,MLE,TUN,"['2024', '12', '6', '19', '10']","['2024', '12', '7', '15', '30']",669172,MLE-AUH,EY261,AF3813,Air France,7,"""AF""",বাংলা,বাংলাদেশ,BDT
multi,MLE,TUN,"['2024', '12', '6', '10', '55']","['2024', '12', '7', 'null', '40']",842098,MLE-DXB,EK659,TU217,Emirates,7,"""TU""",বাংলা,বাংলাদেশ,BDT
multi,MLE,TUN,"['2024', '12', '6', '22', '55']","['2024', '12', '7', '10', '35']",933590,MLE-DXB,EK653,843null,EgyptAir,7,"""MS""",বাংলা,বাংলাদেশ,BDT
multi,MLE,TUN,"['2024', '12', '6', '19', '10']","['2024', '12', '7', '16', '40']",174255,MLE-AUH,EY261,AF3813,Air France,"""1284""",null,বাংলা,বাংলাদেশ,BDT
multi,MLE,TUN,"['2024', '12', '6', '9', '35']","['2024', '12', '7', '10', '35']",224628,MLE-AUH,EY279,MS8123,EgyptAir,12,7,বাংলা,বাংলাদেশ,BDT
TK,MLE,TUN,"['2024', '12', '6', '22', '20']","['2024', '12', '7', '9', '55']",171384,MLE-IST,TK735,661null,https://encrypted-tbn2.gstatic.com/images?q\u003dtbn:ANd9GcRn_8TFVNLwVnMyANup2xtrr3eLE0Vr5NZ2eIJEYq8PnkkXNDLoGCdrbhB08aEMiZ8dD8J_WPxzyPn2_Q,"""TK""","""661""",বাংলা,বাংলাদেশ,BDT
multi,MLE,TUN,"['2024', '12', '6', '19', '10']","['2024', '12', '7', '16', '40']",174255,MLE-AUH,EY261,AF3813,Air France,"""1284""",null,বাংলা,বাংলাদেশ,BDT
QR,MLE,TUN,"['2024', '12', '6', '1', '45']","['2024', '12', '6', '13', '20']",307775,MLE-DOH,QR671,1399null,2024,12,6,বাংলা,বাংলাদেশ,BDT
EK,MLE,TUN,"['2024', '12', '6', '22', '55']","['2024', '12', '7', '12', '35']",312118,MLE-DXB,EK653,747null,2024,"""747""",null,বাংলা,বাংলাদেশ,BDT
multi,MLE,TUN,"['2024', '12', '6', '9', '35']","['2024', '12', '7', '10', '35']",224628,MLE-AUH,EY279,MS8123,EgyptAir,12,7,বাংলা,বাংলাদেশ,BDT
QR,MLE,TUN,"['2024', '12', '6', '19', '10']","['2024', '12', '7', '13', '20']",307775,MLE-DOH,QR675,1399null,2024,2024,12,বাংলা,বাংলাদেশ,BDT
multi,MLE,TUN,"['2024', '12', '6', '23', '30']","['2024', '12', '7', '12', '35']",312118,MLE-DXB,FZ1570,EK2211,Emirates,12,7,বাংলা,বাংলাদেশ,BDT
multi,MLE,TUN,"['2024', '12', '6', '19', '10']","['2024', '12', '7', '15', '30']",669172,MLE-AUH,EY261,AF3813,Air France,7,"""AF""",বাংলা,বাংলাদেশ,BDT
multi,MLE,TUN,"['2024', '12', '6', '10', '55']","['2024', '12', '7', 'null', '40']",842098,MLE-DXB,EK659,TU217,Emirates,7,"""TU""",বাংলা,বাংলাদেশ,BDT
multi,MLE,TUN,"['2024', '12', '6', '22', '55']","['2024', '12', '7', '10', '35']",933590,MLE-DXB,EK653,843null,EgyptAir,7,"""MS""",বাংলা,বাংলাদেশ,BDT
EK,BLR,MAN,"['2024', '9', '5', '10', '35']","['2024', '9', '5', '19', '15']",126555,BLR-DXB,EK565,EK19,Emirates,2024,9,বাংলা,বাংলাদেশ,BDT
EK,BLR,MAN,"['2024', '9', '5', '20', '50']","['2024', '9', '6', '7', '45']",126555,BLR-DXB,EK567,21null,2024,"""21""",null,বাংলা,বাংলাদেশ,BDT
LH,BLR,MAN,"['2024', '9', '5', '3']","['2024', '9', '5', '17']",85036,BLR-FRA,LH755,LH946,https://encrypted-tbn2.gstatic.com/images?q\u003dtbn:ANd9GcQIQIUfZg6v3rdHMVD96D5vTNuXwVO7zsdZy0l7s2uiyV-xuK8nJlokAp_ChoLy9r0vjJWcOOBkEvBI2g,"""LH""","""946""",বাংলা,বাংলাদেশ,BDT
EK,BLR,MAN,"['2024', '9', '5', '10', '35']","['2024', '9', '5', '19', '15']",126555,BLR-DXB,EK565,QF8019,Emirates,2024,9,বাংলা,বাংলাদেশ,BDT
QR,BLR,MAN,"['2024', '9', '5', '3', '55']","['2024', '9', '5', '13', '25']",127773,BLR-DOH,QR573,QR27,2024,2024,9,বাংলা,বাংলাদেশ,BDT
EK,BLR,MAN,"['2024', '9', '5', '20', '50']","['2024', '9', '6', '7', '45']",126555,BLR-DXB,EK567,QF8021,Emirates,"""21""",null,বাংলা,বাংলাদেশ,BDT
BA,BLR,MAN,"['2024', '9', '5', '6', '50']","['2024', '9', '5', '20', '45']",133983,BLR-LHR,BA118,BA1400,2024,"""BA""","""1400""",বাংলা,বাংলাদেশ,BDT
AF,BLR,MAN,"['2024', '9', '5', '1', '45']","['2024', '9', '5', '11', '50']",138420,BLR-CDG,AF191,AF1068,Air France,5,2024,বাংলা,বাংলাদেশ,BDT
EY,BLR,MAN,"['2024', '9', '5', '21', '55']","['2024', '9', '6', '7', '15']",146632,BLR-AUH,EY239,15null,Etihad,"""15""",null,বাংলা,বাংলাদেশ,BDT
multi,BLR,MAN,"['2024', '9', '5', '4']","['2024', '9', '5', '13']",159336,BLR-DOH,6E1301,QR4787,IndiGo,"""QR""","""27""",বাংলা,বাংলাদেশ,BDT
BA,BLR,MAN,"['2024', '9', '5', '6', '50']","['2024', '9', '5', '15', '30']",222416,BLR-LHR,BA118,BA1394,British Airways,"""BA""","""1394""",বাংলা,বাংলাদেশ,BDT
EK,BLR,MAN,"['2024', '9', '5', '10', '35']","['2024', '9', '5', '19', '15']",126555,BLR-DXB,EK565,EK19,Emirates,2024,9,বাংলা,বাংলাদেশ,BDT
EK,BLR,MAN,"['2024', '9', '5', '20', '50']","['2024', '9', '6', '7', '45']",126555,BLR-DXB,EK567,21null,2024,"""21""",null,বাংলা,বাংলাদেশ,BDT
LH,BLR,MAN,"['2024', '9', '5', '3']","['2024', '9', '5', '17']",85036,BLR-FRA,LH755,LH946,https://encrypted-tbn2.gstatic.com/images?q\u003dtbn:ANd9GcQIQIUfZg6v3rdHMVD96D5vTNuXwVO7zsdZy0l7s2uiyV-xuK8nJlokAp_ChoLy9r0vjJWcOOBkEvBI2g,"""LH""","""946""",বাংলা,বাংলাদেশ,BDT
EK,BLR,MAN,"['2024', '9', '5', '10', '35']","['2024', '9', '5', '19', '15']",126555,BLR-DXB,EK565,QF8019,Emirates,2024,9,বাংলা,বাংলাদেশ,BDT
QR,BLR,MAN,"['2024', '9', '5', '3', '55']","['2024', '9', '5', '13', '25']",127773,BLR-DOH,QR573,QR27,2024,2024,9,বাংলা,বাংলাদেশ,BDT
EK,BLR,MAN,"['2024', '9', '5', '20', '50']","['2024', '9', '6', '7', '45']",126555,BLR-DXB,EK567,QF8021,Emirates,"""21""",null,বাংলা,বাংলাদেশ,BDT
BA,BLR,MAN,"['2024', '9', '5', '6', '50']","['2024', '9', '5', '20', '45']",133983,BLR-LHR,BA118,BA1400,2024,"""BA""","""1400""",বাংলা,বাংলাদেশ,BDT
AF,BLR,MAN,"['2024', '9', '5', '1', '45']","['2024', '9', '5', '11', '50']",138420,BLR-CDG,AF191,AF1068,Air France,5,2024,বাংলা,বাংলাদেশ,BDT
EY,BLR,MAN,"['2024', '9', '5', '21', '55']","['2024', '9', '6', '7', '15']",146632,BLR-AUH,EY239,15null,Etihad,"""15""",null,বাংলা,বাংলাদেশ,BDT
multi,BLR,MAN,"['2024', '9', '5', '4']","['2024', '9', '5', '13']",159336,BLR-DOH,6E1301,QR4787,IndiGo,"""QR""","""27""",বাংলা,বাংলাদেশ,BDT
BA,BLR,MAN,"['2024', '9', '5', '6', '50']","['2024', '9', '5', '15', '30']",222416,BLR-LHR,BA118,BA1394,British Airways,"""BA""","""1394""",বাংলা,বাংলাদেশ,BDT
multi,LGW,SFO,"['2024', '9', '18', '11', '15']","['2024', '9', '18', '19', '55']",9435329,LGW-FRA,LH1521,LH9408,Lufthansa,18,"""UA""",Indonesia,Indonesia,IDR
DL,LGW,SFO,"['2024', '9', '18', '12']","['2024', '9', '18', '23']",9739643,LGW-JFK,DL63,VS4062,Delta,9,18,Indonesia,Indonesia,IDR
IB,LGW,SFO,"['2024', '9', '18', '20', '40']","['2024', '9', '19', '16', '30']",9034187,LGW-MAD,IB3717,BA7197,Iberia,9,19,Indonesia,Indonesia,IDR
multi,LGW,SFO,"['2024', '9', '18', '15', '5']","['2024', '9', '19', '8', '59']",9081613,LGW-JFK,BA2273,AA6938,British Airways,"""6223""",null,Indonesia,Indonesia,IDR
